,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,wTargetMeanLDA,wTargetCovLDA,tPropLDA,AccLDAInd,tIndL,AccLDAProp,tCLPropL
312,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",13,3,,,0.9305726655305921,0.8462252015460336,18.69771146774292,0.8647897758844231,0.0006142632876044844,0.8573069086867938,0.0006373335684111967
313,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)",14,3,,,0.9440143598055422,0.8538371415066258,18.34577751159668,0.8674198925726987,0.0006168636089564474,0.861455825152806,0.0005864811862126658
314,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",15,3,,,0.9489804317865176,0.8778016180470363,19.46776008605957,0.8675310242637525,0.0006301353498396332,0.862604185960363,0.000605721826088784
315,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)",16,3,,,0.9586527527099589,0.8817435894280884,24.470789909362793,0.8727542137432858,0.0006184614594500691,0.8694573069086868,0.0005962108810602857
316,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17)",17,3,,,0.9619465707441922,0.8941101464077317,19.41755962371826,0.8746434524912021,0.0006261519181063759,0.8709761066864234,0.0006862474516776563
317,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)",18,3,,,0.9671589980293502,0.9071945338519012,23.098411321640015,0.8740507501389146,0.0007487529956713763,0.8704574921281719,0.0007931025431407427
318,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",19,3,,,0.973690009867999,0.9257693704338831,19.042628049850464,0.8720133358029265,0.0006170874901404313,0.8677162437488424,0.0005945834346911845
319,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",20,3,,,0.9781036661576433,0.9344787798128316,19.438684225082397,0.872531950361178,0.0007147464957098582,0.8672346730876088,0.0008596834948292969
320,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",21,3,,,0.98263252482714,0.9465503394644632,19.177989959716797,0.8701981848490461,0.0006252242185645996,0.8689386923504353,0.0006561618620520456
321,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)",22,3,,,0.9846310953654054,0.9542852359240541,18.761883020401,0.8622707908872014,0.0006189823415593364,0.8599370253750694,0.0006414510691954175
