,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots,yPropL,yPropQ,yLiuQ,rPropQ,rPropL
125,0.838,0.798,,,0.84,,,,0.5,0,4,8,0.842,0.842,0.838,0.5,0.5
126,0.842,0.806,,,0.84,,,,0.5,0,4,9,0.84,0.838,0.84,0.5121145374449338,0.5121145374449338
127,0.83,0.798,,,0.842,,,,0.5,0,4,10,0.844,0.834,0.838,0.5227272727272728,0.5109756097560976
128,0.84,0.816,,,0.84,,,,0.5,0,4,11,0.84,0.842,0.842,0.5064196525515744,0.510586319218241
129,0.836,0.826,,,0.838,,,,0.5,0,4,12,0.838,0.842,0.838,0.5107165206508135,0.5093001014384841
130,0.83,0.774,,,0.846,,,,0.5,0,4,13,0.846,0.838,0.838,0.5174754020959776,0.5069197171136108
131,0.834,0.808,,,0.846,,,,0.5,0,4,14,0.846,0.838,0.838,0.5167120394590603,0.5031281608594049
132,0.838,0.804,,,0.842,,,,0.5,0,4,15,0.842,0.836,0.836,0.5167187516115391,0.5043975200353379
133,0.844,0.816,,,0.846,,,,0.5,0,4,16,0.846,0.836,0.836,0.50866793905884,0.5
134,0.842,0.826,,,0.842,,,,0.5,0,4,17,0.842,0.836,0.838,0.5089481946624803,0.5
135,0.846,0.82,,,0.846,,,,0.5,0,4,18,0.848,0.834,0.838,0.5083564069944374,0.5
136,0.838,0.834,,,0.848,,,,0.5,0,4,19,0.85,0.848,0.846,0.5,0.5
137,0.834,0.838,,,0.848,,,,0.5,0,4,20,0.852,0.848,0.846,0.5,0.5
138,0.84,0.842,,,0.85,,,,0.5,0,4,21,0.848,0.85,0.848,0.5,0.5
139,0.842,0.842,,,0.85,,,,0.5,0,4,22,0.85,0.85,0.85,0.5,0.5
140,0.85,0.852,,,0.848,,,,0.5,0,4,23,0.846,0.846,0.846,0.49736842105263157,0.49736842105263157
141,0.852,0.85,,,0.844,,,,0.5,0,4,24,0.844,0.848,0.848,0.49747474747474746,0.49747474747474746
142,0.852,0.848,,,0.844,,,,0.5,0,4,25,0.848,0.848,0.848,0.4975728155339806,0.4975728155339806
143,0.85,0.85,,,0.846,,,,0.5,0,4,26,0.846,0.846,0.85,0.4976635514018692,0.4976635514018692
144,0.846,0.846,,,0.846,,,,0.5,0,4,27,0.846,0.846,0.844,0.49774774774774777,0.49774774774774777
145,0.846,0.846,,,0.846,,,,0.5,0,4,28,0.846,0.846,0.846,0.4978632478632478,0.4978632478632478
146,0.846,0.84,,,0.846,,,,0.5,0,4,29,0.846,0.846,0.846,0.4994834710743802,0.49793388429752067
147,0.846,0.838,,,0.846,,,,0.5,0,4,30,0.846,0.842,0.842,0.5031829756275009,0.49796747967479676
148,0.848,0.842,,,0.846,,,,0.5,0,4,31,0.848,0.844,0.844,0.49950787401574803,0.49803149606299213
149,0.846,0.84,,,0.85,,,,0.5,0,4,32,0.846,0.844,0.846,0.499515503875969,0.49806201550387597
