,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots,yKNNInd,ySVMInd,yKNNMulti,ySVMMulti
70,0.847,0.835,0.513,0.513,0.84,0.843,0.84,0.821,0.5033681611343431,0.5028412618951488,0.5,20,57,73,0.83,0.846,0.748,0.5
71,0.847,0.835,0.513,0.513,0.841,0.835,0.837,0.829,0.5033178129910861,0.5035214526027597,0.5,20,57,74,0.83,0.846,0.748,0.5
72,0.844,0.839,0.513,0.513,0.84,0.837,0.836,0.83,0.503742951758322,0.4988646829967043,0.5,20,57,75,0.828,0.842,0.749,0.5
73,0.845,0.84,0.513,0.513,0.84,0.837,0.838,0.83,0.5040762343518985,0.4985236959878244,0.5,20,57,76,0.829,0.845,0.749,0.5
74,0.847,0.84,0.513,0.513,0.84,0.839,0.838,0.829,0.5040160763420891,0.49477950886233735,0.5,20,57,77,0.828,0.846,0.75,0.5
75,0.844,0.839,0.513,0.513,0.84,0.839,0.837,0.832,0.503957682916955,0.5011759451050486,0.5,20,57,78,0.829,0.845,0.75,0.5
76,0.844,0.843,0.513,0.513,0.84,0.842,0.837,0.831,0.5049851001852841,0.5036613744104019,0.5,20,57,79,0.829,0.845,0.751,0.5
77,0.843,0.842,0.513,0.513,0.839,0.839,0.835,0.826,0.5052656222784129,0.4964162614410743,0.5,20,57,80,0.828,0.845,0.751,0.5
78,0.844,0.841,0.513,0.513,0.84,0.839,0.836,0.826,0.5048581159642453,0.5029273936176172,0.5,20,57,81,0.825,0.849,0.751,0.5
79,0.845,0.838,0.513,0.513,0.84,0.838,0.837,0.83,0.5038085326144799,0.5004746904144245,0.5,20,57,82,0.828,0.841,0.751,0.5
80,0.844,0.839,0.513,0.513,0.84,0.841,0.834,0.831,0.5027030725414963,0.4997175047779087,0.5,20,57,83,0.828,0.841,0.751,0.5
81,0.843,0.84,0.513,0.513,0.84,0.843,0.835,0.832,0.5030221703807257,0.4990601233059311,0.5,20,57,84,0.828,0.841,0.751,0.5
82,0.843,0.84,0.513,0.513,0.84,0.843,0.838,0.831,0.5022925847827568,0.49902213612127083,0.5,20,57,85,0.828,0.841,0.751,0.5
83,0.842,0.843,0.513,0.513,0.84,0.842,0.836,0.834,0.49709742489513514,0.49804672029492597,0.5,20,57,86,0.83,0.841,0.751,0.5
84,0.844,0.842,0.513,0.513,0.839,0.84,0.836,0.834,0.495782040971255,0.4970312011890929,0.5,20,57,87,0.831,0.841,0.752,0.5
85,0.843,0.841,0.513,0.513,0.84,0.84,0.834,0.831,0.4974872993741275,0.49841311945121053,0.5,20,57,88,0.831,0.841,0.752,0.5
