,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots,yKNNInd,ySVMInd,yKNNMulti,ySVMMulti
92,0.854,0.854,0.5,0.5,0.848,0.849,0.744,0.745,0.49980501380896386,0.49600230980479637,0.5,20,0,95,0.844,0.852,0.822,0.5
93,0.854,0.854,0.5,0.5,0.848,0.848,0.748,0.749,0.5017632861296635,0.49606347129058237,0.5,20,0,96,0.844,0.856,0.822,0.5
94,0.855,0.854,0.5,0.5,0.849,0.848,0.759,0.758,0.5034761531881917,0.5,0.5,20,0,97,0.844,0.856,0.822,0.5
95,0.854,0.855,0.5,0.5,0.849,0.849,0.753,0.754,0.5034271782498788,0.49618042200713625,0.5,20,0,98,0.844,0.854,0.822,0.5
96,0.854,0.853,0.5,0.5,0.849,0.849,0.758,0.758,0.503456399542124,0.5,0.5,20,0,99,0.843,0.854,0.821,0.5
97,0.852,0.854,0.5,0.5,0.847,0.849,0.774,0.774,0.4981324822207034,0.5,0.5,20,0,100,0.834,0.854,0.821,0.5
98,0.854,0.855,0.5,0.5,0.848,0.848,0.775,0.775,0.4981593564161424,0.4944519363145703,0.5,20,0,101,0.836,0.854,0.822,0.5
99,0.854,0.853,0.5,0.5,0.848,0.85,0.766,0.766,0.4944190799820749,0.49627033551744937,0.5,20,0,102,0.835,0.856,0.822,0.5
100,0.739,0.504,0.5,0.5,0.81,0.5,0.508,0.502,0.75,0.5,0.5,20,1,3,0.5,0.751,0.824,0.5
101,0.851,0.836,0.5,0.5,0.85,0.85,0.533,0.526,0.5,0.5,0.5,20,1,4,0.808,0.798,0.824,0.5
102,0.852,0.829,0.5,0.5,0.852,0.847,0.533,0.529,0.5,0.5,0.5,20,1,5,0.817,0.812,0.824,0.5
103,0.835,0.839,0.5,0.5,0.847,0.845,0.58,0.593,0.5,0.5,0.5,20,1,6,0.818,0.828,0.824,0.5
104,0.851,0.831,0.5,0.5,0.853,0.841,0.7,0.723,0.5,0.5,0.5,20,1,7,0.836,0.848,0.824,0.5
105,0.852,0.826,0.5,0.5,0.855,0.845,0.645,0.683,0.5313730334031141,0.5,0.5,20,1,8,0.851,0.851,0.826,0.5
106,0.848,0.816,0.5,0.5,0.854,0.845,0.599,0.639,0.5139320225002103,0.5,0.5,20,1,9,0.846,0.85,0.826,0.5
107,0.839,0.822,0.5,0.5,0.852,0.855,0.567,0.602,0.46933647798620387,0.5,0.5,20,1,10,0.847,0.846,0.827,0.5
108,0.836,0.83,0.5,0.5,0.858,0.855,0.538,0.552,0.43336801909774675,0.4674356757673869,0.5,20,1,11,0.845,0.839,0.826,0.5
109,0.838,0.834,0.5,0.5,0.859,0.858,0.556,0.567,0.4710420379031334,0.4710420379031334,0.5,20,1,12,0.844,0.839,0.826,0.5
110,0.838,0.831,0.5,0.5,0.854,0.856,0.555,0.576,0.4869718837088979,0.5,0.5,20,1,13,0.841,0.853,0.827,0.5
111,0.841,0.844,0.5,0.5,0.856,0.855,0.565,0.577,0.5122237111712322,0.5,0.5,20,1,14,0.831,0.852,0.826,0.5
112,0.851,0.838,0.5,0.5,0.852,0.849,0.7,0.705,0.5116269816781045,0.5,0.5,20,1,15,0.837,0.851,0.826,0.5
113,0.847,0.834,0.5,0.5,0.851,0.85,0.613,0.632,0.48785118552789525,0.5121488144721047,0.5,20,1,16,0.836,0.851,0.826,0.5
114,0.837,0.832,0.5,0.5,0.851,0.847,0.571,0.592,0.5099312256652183,0.47575374247736885,0.5,20,1,17,0.828,0.853,0.826,0.5
115,0.839,0.837,0.5,0.5,0.851,0.85,0.56,0.584,0.47787166492481414,0.48854838938206957,0.5,20,1,18,0.821,0.851,0.826,0.5
116,0.846,0.838,0.5,0.5,0.852,0.852,0.576,0.592,0.47965096348714975,0.5105221343241905,0.5,20,1,19,0.824,0.855,0.825,0.5
