,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
47,0.846,0.846,0.513,0.513,0.842,0.844,0.833,0.834,[0.68724746 0.69653305],[0.71022281 0.71071379],[0.69427728 0.69460491],[0.7132568  0.71552711],0.5,20,51,50,0.6918902521334751,0.7104683030905048,0.6944410983357804,0.7143919571245081
48,0.844,0.845,0.513,0.513,0.842,0.842,0.833,0.834,[0.68551591 0.69282081],[0.70680134 0.70780572],[0.68950271 0.69092353],[0.7087536 0.7125244],0.5,20,51,51,0.6891683569608216,0.7073035298051509,0.6902131207366626,0.7106390022571084
49,0.845,0.845,0.513,0.513,0.845,0.843,0.833,0.831,[0.68822577 0.69432663],[0.70843175 0.70739032],[0.69918295 0.69247641],[0.71126676 0.71489241],0.5,20,51,52,0.6912762004252734,0.7079110342951618,0.695829681002181,0.7130795879796069
50,0.845,0.844,0.513,0.513,0.845,0.842,0.834,0.831,[0.68388759 0.69088013],[0.70449867 0.70397999],[0.69854708 0.69400063],[0.71212062 0.71632022],0.5,20,51,53,0.6873838560915746,0.7042393288877584,0.6962738522416827,0.7142204188950412
51,0.847,0.846,0.513,0.513,0.844,0.843,0.832,0.834,[0.69624936 0.69815048],[0.71305442 0.71111338],[0.70384792 0.69915863],[0.71390859 0.71701851],0.5,20,51,54,0.6971999162844014,0.712083899434304,0.7015032718633984,0.7154635495358639
52,0.845,0.846,0.513,0.513,0.844,0.843,0.831,0.833,[0.69107548 0.69575157],[0.70977556 0.70811691],[0.70598996 0.70147142],[0.71468975 0.71816994],0.5,20,51,55,0.6934135227341872,0.7089462370174153,0.7037306903210474,0.7164298464650315
53,0.844,0.844,0.513,0.513,0.844,0.843,0.833,0.832,[0.6924749  0.70081221],[0.71020105 0.70928565],[0.69796164 0.70001021],[0.71086241 0.71345865],0.5,20,51,56,0.6966435549826269,0.7097433493770477,0.6989859264047621,0.7121605268822866
54,0.844,0.845,0.513,0.513,0.843,0.84,0.834,0.828,[0.68980124 0.69701807],[0.71045776 0.7100137 ],[0.70304363 0.70324344],[0.71675936 0.71794722],0.5,20,51,57,0.6934096538223788,0.7102357333414142,0.7031435351012059,0.7173532905657805
55,0.843,0.847,0.513,0.513,0.845,0.841,0.831,0.832,[0.69485955 0.7001122 ],[0.71203635 0.71181211],[0.70524918 0.70456401],[0.71754859 0.72060823],0.5,20,51,58,0.6974858744165184,0.7119242297002972,0.7049065994541617,0.7190784128828711
56,0.843,0.847,0.513,0.513,0.845,0.841,0.836,0.831,[0.69896366 0.70072459],[0.71316449 0.71252415],[0.70916364 0.70671112],[0.71920347 0.72133098],0.5,20,51,59,0.6998441273314314,0.7128443220381933,0.7079373781509871,0.7202672258798306
57,0.845,0.843,0.513,0.513,0.841,0.84,0.833,0.828,[0.69619295 0.70133944],[0.71491175 0.71491175],[0.70366607 0.70300109],[0.71863315 0.7159138 ],0.5,20,51,60,0.6987661944030317,0.7149117545842446,0.7033335780838759,0.7172734728681474
58,0.844,0.842,0.513,0.513,0.84,0.841,0.841,0.83,[0.69461327 0.70132521],[0.71775851 0.71754441],[0.70008334 0.69707555],[0.71769092 0.7119403 ],0.5,20,51,61,0.6979692402726695,0.7176514597516066,0.698579443255005,0.7148156088563329
59,0.843,0.842,0.513,0.513,0.84,0.842,0.837,0.829,[0.70008951 0.70660543],[0.72294709 0.72214564],[0.70070139 0.69856794],[0.71833493 0.71330759],0.5,20,51,62,0.7033474715083112,0.7225463647666948,0.6996346658369856,0.7158212588690633
60,0.84,0.842,0.513,0.513,0.84,0.841,0.843,0.83,[0.70014033 0.70789859],[0.72505723 0.72329575],[0.70212547 0.70003394],[0.71997313 0.71445811],0.5,20,51,63,0.7040194571569542,0.7241764929304916,0.701079700698493,0.7172156183701688
61,0.84,0.842,0.513,0.513,0.84,0.841,0.84,0.829,[0.7015754  0.70917299],[0.72616186 0.724827  ],[0.7066917  0.70545021],[0.72423058 0.71946031],0.5,20,51,64,0.7053741946770518,0.7254944309508788,0.7060709536888411,0.7218454442606429
62,0.843,0.842,0.513,0.513,0.84,0.841,0.833,0.829,[0.69892088 0.70308877],[0.72222612 0.72013659],[0.7100026  0.70514003],[0.72624808 0.71711345],0.5,20,51,65,0.7010048250585299,0.7211813524418973,0.7075713142803557,0.7216807655286559
63,0.845,0.842,0.513,0.513,0.84,0.844,0.835,0.829,[0.70827821 0.70937208],[0.72640704 0.72437037],[0.72003662 0.713839  ],[0.73419963 0.72612284],0.5,20,51,66,0.7088251451764913,0.7253887058831745,0.7169378107617917,0.7301612349326105
64,0.845,0.843,0.513,0.513,0.844,0.844,0.833,0.829,[0.71247199 0.71064102],[0.72790259 0.72496483],[0.72395251 0.71501791],[0.73408212 0.72778845],0.5,20,51,67,0.7115565084519919,0.7264337137883787,0.7194852128794571,0.7309352824031214
65,0.844,0.843,0.513,0.513,0.842,0.844,0.837,0.829,[0.7122274  0.71189183],[0.72882085 0.72612736],[0.72345489 0.71618188],[0.73447673 0.72817219],0.5,20,51,68,0.7120596145945477,0.7274741074430674,0.719818381559282,0.7313244604974021
66,0.843,0.842,0.513,0.513,0.84,0.842,0.844,0.83,[0.71406262 0.71528446],[0.73336862 0.73028597],[0.72108869 0.71320094],[0.73319675 0.72520903],0.5,20,51,69,0.7146735386434709,0.7318272946799589,0.7171448160422187,0.7292028891492854
67,0.843,0.843,0.513,0.513,0.839,0.84,0.84,0.833,[0.71240926 0.71108829],[0.72765144 0.72507529],[0.72669883 0.71846667],[0.73827851 0.72863254],0.5,20,51,70,0.7117487764720266,0.7263633654489767,0.7225827486833974,0.7334555232418123
68,0.845,0.843,0.513,0.513,0.84,0.846,0.839,0.834,[0.72018672 0.71742923],[0.73235208 0.72882139],[0.72698413 0.72211533],[0.73897802 0.73103932],0.5,20,51,71,0.7188079784653716,0.7305867361993915,0.7245497267922445,0.7350086669586153
69,0.844,0.844,0.513,0.513,0.843,0.846,0.84,0.835,[0.7212924  0.72104821],[0.73306179 0.73007397],[0.72519373 0.72380673],[0.73973723 0.73304891],0.5,20,51,72,0.7211703023050673,0.7315678838207911,0.7245002295680281,0.7363930725103905
