,person,subset,# shots,Feature Set,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,AccLDAInd,AccLDAMulti,AccLDAProp,tCLPropL,AccLDALiu,AccLDAPropQ,AccClLDAInd,AccClLDAProp,AccClLDAPropQ,AccClLDALiu,tPropL,tIndL,tGenL,wTargetMeanLDAm,wTargetCovLDAm,AccQDAInd,AccQDAMulti,AccQDAProp,tCLPropQ,AccQDALiu,AccQDAPropL,AccClQDAInd,AccClQDAProp,AccClQDAPropL,AccClQDALiu,tPropQ,tIndQ,tGenQ,wTargetMeanQDAm,wTargetCovQDAm,AccSVMInd,AccKNNInd,AccClSVMInd,AccClKNNInd
10,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",11,3,[1.         0.91509435 0.97862834 0.96756315 0.90868753],[0.80088811 0.79674423 0.81033308 0.8257088  0.82991177],[0.90212255 0.8800437  0.91074415 0.93906281 0.88677498],[0.8762895  0.826402   0.84846682 0.91213108 0.85415652],0.7833205814843153,0.510788064269319,0.7719969395562356,0.0009112172757931675,0.7449120122417751,0.7785768936495792,0.968,0.936,0.96,0.92,27.583163738250732,0.01026773452758789,4.472698450088501,0.9539946738760285,0.8127171965499549,0.8087222647283856,0.4806426931905126,0.8052027543993879,0.001273716435509049,0.7436878347360367,0.8032134659525632,0.904,0.944,0.928,0.936,38.91169023513794,0.004944324493408203,2.6819047927856445,0.9037496386868271,0.86348918570968,0.7880642693190513,0.7840856924254017,0.936,0.96
11,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",12,3,[0.9924784  0.91402802 0.96641411 0.99521278 0.95304445],[0.81674931 0.82698417 0.84421255 0.84128286 0.83259751],[0.9619283  0.91527809 0.88797906 0.95067351 0.84512646],[0.85955743 0.86207065 0.86103025 0.93644061 0.82022876],0.7831675592960979,0.5135424636572303,0.7755164498852334,0.0009071947694645643,0.7510328997704667,0.7819433817903596,0.968,0.96,0.976,0.912,27.821922302246094,0.031554460525512695,3.9251744747161865,0.9642355534822574,0.8323652800914971,0.8078041315990818,0.48171384850803367,0.7981637337413925,0.0012738511684566576,0.7478194338179036,0.8042846212700842,0.912,0.936,0.92,0.936,39.20791840553284,0.00525355339050293,2.1248462200164795,0.9121970826582533,0.867865538725203,0.7834736036725325,0.7842387146136189,0.944,0.96
12,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",13,3,[0.98865098 0.95222029 0.97780477 0.96474138 0.93913568],[0.83665506 0.8415183  0.85594581 0.86859091 0.84550569],[0.96769092 0.92660046 0.88043604 0.95987881 0.88991542],[0.874203   0.86361201 0.86690466 0.93571596 0.84965226],0.7918898240244836,0.5152257077276206,0.7842387146136189,0.000904741812591436,0.7499617444529457,0.7869931140015303,0.984,0.96,0.984,0.912,27.555211067199707,0.01203012466430664,3.8451333045959473,0.9645106206825884,0.8496431543133773,0.8133129303749044,0.4827850038255547,0.8039785768936496,0.0012650119501302147,0.754858454475899,0.8062739097169089,0.92,0.944,0.92,0.928,38.836790800094604,0.025426626205444336,2.08251690864563,0.9249043277740778,0.8780175783474553,0.7902065799540934,0.7908186687069625,0.944,0.96
13,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)",14,3,[0.99073177 0.94667547 0.94044649 0.96340938 0.95490201],[0.84337394 0.83887324 0.83883389 0.85935657 0.86079241],[0.97411553 0.91672596 0.89534574 0.96569596 0.91656487],[0.88277249 0.87576714 0.86888132 0.95315175 0.86961954],0.7915837796480489,0.5156847742922723,0.7883703136954858,0.0009075076505256776,0.7530221882172915,0.7886763580719204,0.984,0.968,0.984,0.904,27.438467264175415,0.03319668769836426,3.980264186859131,0.9592330247318144,0.8482460128555228,0.8149961744452946,0.48370313695485845,0.8041315990818668,0.0012724989866973247,0.7573068094873757,0.8137719969395563,0.928,0.944,0.928,0.936,38.88034653663635,0.0056781768798828125,2.364635944366455,0.9336896126204612,0.8900384469667213,0.7951032899770467,0.803672532517215,0.944,0.96
14,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",15,3,[0.99381213 0.94196124 0.95171474 0.97672281 0.95336676],[0.85441574 0.86074174 0.86244136 0.85023165 0.87826094],[0.88975085 0.93357223 0.91235593 0.95505599 0.92012168],[0.89626057 0.91284151 0.87235986 0.9176459  0.91361837],0.791124713083397,0.5167559296097934,0.7871461361897475,0.0009067242804062485,0.7507268553940322,0.7914307574598317,0.976,0.952,0.976,0.912,27.797429084777832,0.013839006423950195,3.9293839931488037,0.9635155375784683,0.8612182853315009,0.8137719969395563,0.48553940321346595,0.8104055087987758,0.0012836978740152186,0.75592960979342,0.8137719969395563,0.928,0.944,0.92,0.928,39.31423354148865,0.0260775089263916,2.1296679973602295,0.9221713367656724,0.9025452438887681,0.7954093343534813,0.8053557765876052,0.928,0.952
15,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)",16,3,[0.9974733  0.95412653 1.         1.         0.97753099],[0.86937982 0.88003714 0.89608424 0.88442325 0.90890674],[0.96249704 0.92903914 0.93359953 0.97071247 0.9302727 ],[0.90512806 0.92091335 0.93761008 0.96525404 0.90611168],0.7931140015302219,0.5178270849273144,0.7894414690130069,0.0009051668069338926,0.752257077276205,0.7923488905891354,0.96,0.928,0.936,0.912,27.84561324119568,0.03473711013793945,3.8240890502929688,0.9858261643963558,0.8877662374634768,0.8139250191277735,0.4870696250956389,0.8041315990818668,0.0012734568201136572,0.7536342769701607,0.8087222647283856,0.928,0.912,0.912,0.92,39.239418745040894,0.006114482879638672,1.8886072635650635,0.945224175641026,0.9270034435554837,0.8068859984697782,0.8074980872226473,0.928,0.944
16,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17)",17,3,[0.99709572 0.95898364 0.97629626 0.954467   0.93998912],[0.89373042 0.9005888  0.8978083  0.91853993 0.89439571],[0.97279669 0.93969309 0.95277731 0.96527534 0.9381169 ],[0.93468939 0.92477519 0.92646146 0.96805567 0.90587309],0.7915837796480489,0.5205814843152257,0.7920428462127008,0.0009052862898484386,0.7589900535577658,0.794797245600612,0.96,0.936,0.952,0.904,27.56658172607422,0.03633856773376465,3.9244887828826904,0.9653663479159954,0.9010126314894864,0.8139250191277735,0.4885998469778118,0.8107115531752104,0.0012736916268428228,0.7560826319816374,0.8116296863045142,0.92,0.912,0.912,0.92,38.8784453868866,0.006841897964477539,2.071375608444214,0.9537318666065527,0.9319709628144967,0.8105585309869932,0.809487375669472,0.936,0.952
17,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)",18,3,[1.         0.96380519 0.9974639  0.98266845 0.9580897 ],[0.89522427 0.89962353 0.89311423 0.91384661 0.90439186],[0.92987095 0.95729547 0.9521107  0.97516525 0.95156519],[0.9403605  0.94093597 0.94893288 0.95325264 0.92029107],0.7938791124713084,0.5216526396327468,0.7915837796480489,0.0009050729718022248,0.7583779648048967,0.793726090283091,0.952,0.952,0.952,0.912,13.678502321243286,0.03663229942321777,3.8724265098571777,0.9804054489539359,0.9012401003732196,0.8142310635042082,0.490283091048202,0.8166794185156848,0.001058821105373298,0.7539403213465953,0.8148431522570773,0.928,0.912,0.912,0.92,24.066072940826416,0.0065670013427734375,2.0896060466766357,0.9532015133143137,0.9407546117876893,0.809487375669472,0.8122417750573834,0.952,0.952
18,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",19,3,[1.         0.97216775 0.97898239 1.         0.97436337],[0.91223839 0.91781551 0.90817902 0.91283277 0.91917266],[0.98645275 0.9569067  0.95980171 0.99271033 0.96607993],[0.94611562 0.94132947 0.94626316 0.97904841 0.92636519],0.7981637337413925,0.523335883703137,0.7980107115531752,0.0004424802930462698,0.7573068094873757,0.7980107115531752,0.96,0.952,0.976,0.912,13.71457052230835,0.017066240310668945,1.878978967666626,0.9851027023531366,0.9140476701998441,0.8185156847742923,0.4907421576128539,0.8172915072685539,0.0006221142997245526,0.7563886763580719,0.8195868400918133,0.912,0.92,0.912,0.928,19.174518823623657,0.006585359573364258,0.9196994304656982,0.9723902841160165,0.9478243701378164,0.8079571537872992,0.8113236419280796,0.936,0.936
19,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",20,3,[1.         0.96913139 0.98359121 0.99342643 0.97475043],[0.93560365 0.92976023 0.93020952 0.94537796 0.9314238 ],[0.96083011 0.969729   0.96850342 0.97840127 0.96364858],[0.96734708 0.95217015 0.95055448 0.98917166 0.94650174],0.8004590665646518,0.5247130833970926,0.7983167559296098,0.0004424669766298395,0.7580719204284622,0.7981637337413925,0.968,0.976,0.976,0.912,13.47488260269165,0.017952919006347656,1.8902060985565186,0.9841798922759175,0.9344750328187346,0.8186687069625096,0.49150726855394034,0.8192807957153787,0.0006214693108860007,0.7531752104055088,0.8192807957153787,0.92,0.928,0.904,0.928,18.987987518310547,0.006979703903198242,0.9336698055267334,0.968222476333519,0.9611490206575622,0.8093343534812548,0.8113236419280796,0.928,0.944
20,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",21,3,[0.99022217 0.97557079 0.99390798 0.9961242  0.9668766 ],[0.94411121 0.94883337 0.93924587 0.94471637 0.94302777],[0.9831325  0.97266123 0.9735852  0.99243029 0.97237623],[0.96596185 0.96585986 0.96165385 0.97447879 0.95949977],0.805814843152257,0.5250191277735272,0.7996939556235654,0.0004431530092176629,0.7592960979342005,0.8,0.976,0.968,0.984,0.912,27.671152114868164,0.01865077018737793,1.903977870941162,0.9845403491063601,0.9439869175029232,0.820504973221117,0.4918133129303749,0.8189747513389442,0.0006239911118079071,0.7514919663351186,0.8198928844682479,0.92,0.912,0.912,0.928,23.13486123085022,0.007077455520629883,0.9620857238769531,0.9788370889197255,0.9654908249966002,0.8151491966335118,0.8127008416220352,0.928,0.928
21,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)",22,3,[0.99851774 0.9858264  0.98849423 1.         0.98978755],[0.95439739 0.95435116 0.95189238 0.95377134 0.95312755],[0.99091996 0.97568716 0.97755693 0.98682596 0.97496895],[0.97010422 0.96721668 0.96962917 0.98866631 0.95988764],0.8030604437643458,0.5271614384085692,0.8006120887528692,0.00044187240775705935,0.7560826319816374,0.7989288446824789,0.96,0.952,0.96,0.912,13.636617660522461,0.019549131393432617,1.9141709804534912,0.9925251837203349,0.9535079650893865,0.8208110175975516,0.4930374904361132,0.8177505738332058,0.0006264251703147042,0.7505738332058148,0.8209640397857689,0.928,0.928,0.92,0.928,19.192564725875854,0.0075151920318603516,0.9171338081359863,0.9811917916284928,0.9711008023450551,0.8163733741392502,0.8143840856924254,0.928,0.928
22,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)",23,3,[0.99343221 0.98207622 0.99367537 0.99102311 0.98595993],[0.96606905 0.96734959 0.96854849 0.96801166 0.967455  ],[0.99059281 0.9837456  0.98846735 0.98921376 0.98363747],[0.97958745 0.97806267 0.97979015 0.98412487 0.97173453],0.8042846212700842,0.5286916602907421,0.8007651109410865,0.0004431501635177134,0.7576128538638103,0.8012241775057384,0.968,0.968,0.968,0.904,13.602487087249756,0.01996326446533203,1.9244763851165771,0.9892333676820396,0.9674867573893101,0.8179035960214232,0.49441469013006883,0.820504973221117,0.0006263693872990276,0.7539403213465953,0.8201989288446825,0.928,0.912,0.92,0.92,19.143205404281616,0.007407665252685547,0.9646084308624268,0.9871313979228058,0.9786599342623841,0.8185156847742923,0.8149961744452946,0.944,0.944
23,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24)",24,3,[0.99666705 0.99373752 0.99618725 0.99179404 0.99458646],[0.97809787 0.97759264 0.97947551 0.98297052 0.98017144],[0.99377416 0.98950242 0.9906382  0.99148449 0.9904049 ],[0.98461191 0.98146118 0.98828688 0.98937752 0.98464046],0.8059678653404744,0.5305279265493497,0.8012241775057384,0.0004443202934469443,0.7591430757459832,0.7998469778117827,0.968,0.968,0.968,0.912,13.557111263275146,0.021063804626464844,1.8825857639312744,0.9945944648962358,0.9796615980770691,0.8183626625860749,0.49563886763580717,0.8211170619739863,0.0006284552853620043,0.7516449885233358,0.8217291507268554,0.92,0.92,0.912,0.92,19.15658164024353,0.007583141326904297,0.9078090190887451,0.9911608320777088,0.9856755902188802,0.8174445294567713,0.8183626625860749,0.936,0.96
24,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",25,3,[0.9999548  0.99476115 0.9989869  1.         0.99768705],[0.98830584 0.98820284 0.98880689 0.98787689 0.98884156],[0.99895716 0.99533378 0.99525424 0.99829109 0.9955111 ],[0.99335812 0.99289093 0.99346508 0.99780529 0.99328912],0.8048967100229534,0.531752104055088,0.7993879112471308,0.00044261812707715667,0.7589900535577658,0.7992348890589135,0.96,0.968,0.968,0.912,13.58272123336792,0.02234506607055664,1.9186525344848633,0.9982779779647775,0.9884068041796233,0.8169854628921194,0.49701606732976283,0.8198928844682479,0.0006272186828006199,0.7501147666411629,0.8206579954093344,0.92,0.92,0.92,0.92,19.149439811706543,0.008183956146240234,1.0303380489349365,0.9966694731661541,0.9941617095305231,0.8134659525631217,0.8180566182096404,0.928,0.96
